StartPop99 GenomLen20 GenMutRate11.0 RecombRate0.3 BurstSize10 SimLimit30
Gen	Pop	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	990	0.479797979798	0.458585858586	0.461616161616	0.475757575758	0.486868686869	0.467676767677	0.467676767677	0.457575757576	0.470707070707	0.461616161616	0.470707070707	0.468686868687	0.449494949495	0.464646464646	0.475757575758	0.484848484848	0.483838383838	0.465656565657	0.458585858586	0.455555555556
2	342	0.46783625731	0.450292397661	0.415204678363	0.380116959064	0.447368421053	0.438596491228	0.447368421053	0.423976608187	0.400584795322	0.438596491228	0.456140350877	0.46783625731	0.43567251462	0.470760233918	0.438596491228	0.476608187135	0.456140350877	0.429824561404	0.409356725146	0.418128654971
3	200	0.435	0.375	0.425	0.395	0.435	0.425	0.395	0.435	0.415	0.415	0.45	0.44	0.505	0.44	0.35	0.445	0.47	0.45	0.405	0.47
4	162	0.351851851852	0.475308641975	0.444444444444	0.438271604938	0.395061728395	0.425925925926	0.376543209877	0.456790123457	0.475308641975	0.401234567901	0.444444444444	0.481481481481	0.462962962963	0.364197530864	0.425925925926	0.438271604938	0.450617283951	0.382716049383	0.450617283951	0.444444444444
5	151	0.423841059603	0.423841059603	0.397350993377	0.450331125828	0.370860927152	0.350993377483	0.437086092715	0.476821192053	0.403973509934	0.476821192053	0.443708609272	0.41059602649	0.397350993377	0.456953642384	0.509933774834	0.443708609272	0.450331125828	0.417218543046	0.437086092715	0.450331125828
6	118	0.525423728814	0.415254237288	0.406779661017	0.406779661017	0.483050847458	0.474576271186	0.491525423729	0.406779661017	0.415254237288	0.398305084746	0.449152542373	0.466101694915	0.457627118644	0.406779661017	0.364406779661	0.372881355932	0.406779661017	0.466101694915	0.330508474576	0.449152542373
7	83	0.457831325301	0.361445783133	0.44578313253	0.397590361446	0.409638554217	0.481927710843	0.469879518072	0.457831325301	0.481927710843	0.373493975904	0.385542168675	0.33734939759	0.409638554217	0.373493975904	0.409638554217	0.385542168675	0.409638554217	0.44578313253	0.493975903614	0.518072289157
8	59	0.576271186441	0.406779661017	0.440677966102	0.440677966102	0.474576271186	0.423728813559	0.372881355932	0.35593220339	0.457627118644	0.322033898305	0.491525423729	0.372881355932	0.457627118644	0.491525423729	0.35593220339	0.440677966102	0.372881355932	0.440677966102	0.35593220339	0.440677966102
9	61	0.524590163934	0.475409836066	0.377049180328	0.393442622951	0.377049180328	0.426229508197	0.475409836066	0.360655737705	0.360655737705	0.508196721311	0.409836065574	0.426229508197	0.409836065574	0.426229508197	0.360655737705	0.491803278689	0.393442622951	0.377049180328	0.409836065574	0.377049180328
10	64	0.296875	0.40625	0.34375	0.46875	0.5	0.484375	0.390625	0.421875	0.46875	0.375	0.421875	0.390625	0.40625	0.453125	0.390625	0.390625	0.46875	0.40625	0.453125	0.484375
11	48	0.458333333333	0.416666666667	0.270833333333	0.395833333333	0.416666666667	0.479166666667	0.4375	0.4375	0.4375	0.375	0.375	0.416666666667	0.395833333333	0.458333333333	0.395833333333	0.520833333333	0.375	0.333333333333	0.375	0.520833333333
12	62	0.41935483871	0.258064516129	0.354838709677	0.306451612903	0.41935483871	0.41935483871	0.403225806452	0.467741935484	0.548387096774	0.387096774194	0.483870967742	0.435483870968	0.41935483871	0.387096774194	0.322580645161	0.5	0.403225806452	0.516129032258	0.403225806452	0.467741935484
13	68	0.397058823529	0.338235294118	0.544117647059	0.588235294118	0.323529411765	0.455882352941	0.382352941176	0.397058823529	0.382352941176	0.441176470588	0.338235294118	0.529411764706	0.426470588235	0.514705882353	0.411764705882	0.397058823529	0.397058823529	0.470588235294	0.470588235294	0.470588235294
14	70	0.357142857143	0.371428571429	0.357142857143	0.4	0.5	0.328571428571	0.4	0.357142857143	0.4	0.485714285714	0.457142857143	0.442857142857	0.414285714286	0.342857142857	0.4	0.428571428571	0.514285714286	0.357142857143	0.328571428571	0.357142857143
